crop,period,area_mha,production_mt,yield_kg_ha
Rice,2016-17 to 2020-21,43.9,114.45,2607
Wheat,2016-17 to 2020-21,30.28,102.46,3384
Maize,2016-17 to 2020-21,9.4,27.78,2955
Gram,2016-17 to 2020-21,9.86,10.44,1059
Groundnut,2016-17 to 2020-21,4.95,8.35,1688
Rapeseed & Mustard,2016-17 to 2020-21,6.26,8.68,1387
Soybean,2016-17 to 2020-21,11.21,12.15,1084
Total Pulses,2016-17 to 2020-21,29.1,23.41,805
Total Foodgrains,2016-17 to 2020-21,127.13,285.71,2247
Rice,2019-20 to 2023-24,46.27,129.26,2793
Wheat,2019-20 to 2023-24,31.24,109.81,3515
Maize,2019-20 to 2023-24,10.28,33.98,3305
Gram,2019-20 to 2023-24,10.1,11.97,1185
Groundnut,2019-20 to 2023-24,5.24,10.16,1938
Rapeseed & Mustard,2019-20 to 2023-24,7.92,11.44,1445
Soybean,2019-20 to 2023-24,12.72,12.97,1020
Total Pulses,2019-20 to 2023-24,28.78,25.22,876
Total Foodgrains,2019-20 to 2023-24,130.25,317.17,2435
Rice,2020-21 to 2024-25,47.8,135.52,2835
Wheat,2020-21 to 2024-25,31.52,111.82,3547
Maize,2020-21 to 2024-25,10.78,36.91,3422
Gram,2020-21 to 2024-25,9.98,11.97,1199
Groundnut,2020-21 to 2024-25,5.43,10.56,1945
Rapeseed & Mustard,2020-21 to 2024-25,8.28,12.15,1468
Soybean,2020-21 to 2024-25,12.87,13.78,1071
Total Pulses,2020-21 to 2024-25,28.73,25.75,896
Total Foodgrains,2020-21 to 2024-25,132.36,329.22,2487
